TRANSACTION_ID,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS,TX_FRAUD,TX_FRAUD_SCENARIO,TX_HOUR,TX_DAY_OF_WEEK,TX_WEEK_OF_YEAR,TX_IS_WEEKEND
1744506,3279,4640,-0.968810292494652,15724801,182,0,0,0,6,39,1
1744507,2731,3283,3.9713121679227856,15724827,182,1,1,0,6,39,1
1744508,2430,733,-1.051133906318682,15724838,182,0,0,0,6,39,1
1744509,1005,5104,-0.4635785139403189,15724909,182,0,0,0,6,39,1
1744510,915,818,0.1736062570576737,15724929,182,0,0,0,6,39,1
1744511,1602,2510,2.1218533807846476,15725020,182,0,0,0,6,39,1
1744512,1230,2301,1.1840698141663397,15725059,182,0,0,0,6,39,1
1744513,2159,5002,-0.9758666022509974,15725174,182,0,0,0,6,39,1
1744514,2176,2328,-0.6707988104516631,15725207,182,0,0,0,6,39,1
1744515,1552,1562,0.09575163941266236,15725226,182,0,0,0,6,39,1
1744516,2813,1987,-0.30951575092677697,15725279,182,0,0,0,6,39,1
1744517,528,4136,-0.15145441238463928,15725334,182,0,0,0,6,39,1
1744518,1151,6069,0.4492727582055686,15725550,182,0,0,0,6,39,1
1744519,2470,2517,-1.09582386810887,15725615,182,0,0,0,6,39,1
1744520,2483,1949,-0.544961286463503,15725676,182,0,0,0,6,39,1
1744521,2817,4104,1.6319102733690636,15725679,182,0,0,0,6,39,1
1744522,450,3086,0.23146799705970628,15725690,182,0,0,0,6,39,1
1744523,1653,4629,-0.9481117838760387,15725701,182,0,0,0,6,39,1
1744524,3652,3230,-0.15121920205942782,15725728,182,0,0,0,6,39,1
1744525,2480,5177,0.19030619014769123,15725781,182,0,0,0,6,39,1
1744526,97,3791,0.755751811956172,15725790,182,0,0,0,6,39,1
1744527,3662,2739,-1.1680334379488047,15725803,182,0,0,0,6,39,1
1744528,165,233,-0.2293090300296506,15725848,182,0,0,0,6,39,1
1744529,3405,2499,1.463970101168042,15725897,182,0,0,0,6,39,1
1744530,2583,921,-1.0565437437985468,15725909,182,0,0,0,6,39,1
1744531,1899,5993,-0.8507347092384718,15725913,182,0,0,0,6,39,1
1744532,1198,6015,1.7742125201220293,15725952,182,0,0,0,6,39,1
1744533,369,5811,-0.00985779660730751,15726004,182,0,0,0,6,39,1
1744534,28,1115,1.6589594607683877,15726016,182,0,0,0,6,39,1
1744535,1021,5727,-0.24295122889191842,15726027,182,0,0,0,6,39,1
1744536,2344,5224,0.49208103739406445,15726384,182,0,0,0,6,39,1
1744537,2838,3342,1.8247827400425052,15726455,182,0,0,0,6,39,1
1744538,2227,6064,-1.0758309904658911,15726479,182,0,0,0,6,39,1
1744539,3215,693,0.5116034943866201,15726527,182,0,0,0,6,39,1
1744540,2516,5859,-0.975631391925786,15726547,182,0,0,0,6,39,1
1744541,296,3490,1.1316179116441722,15726651,182,0,0,0,6,39,1
1744542,3017,2492,0.09975021494125814,15726658,182,0,0,0,6,39,1
1744543,2890,5653,-0.19073453669496224,15726726,182,0,0,0,6,39,1
1744544,560,1667,0.7449321369964425,15726876,182,0,0,0,6,39,1
1744545,467,3236,0.2646326529145299,15726888,182,0,0,0,6,39,1
1744546,1444,1286,-1.028318504773165,15726912,182,0,0,0,6,39,1
1744547,3548,4079,0.9385102346455186,15726959,182,0,0,0,6,39,1
